HITId,Input.utterance,Answer.object
3P7QK0GJ3T49TQCMU5VUEEEIQ082ZF,The wooden and cloth couch closest to the white mini-fridge.,minifridge
3P7QK0GJ3T49TQCMU5VUEEEIQ082ZF,The wooden and cloth couch closest to the white mini-fridge.,minifridge
3P7QK0GJ3T49TQCMU5VUEEEIQ082ZF,The wooden and cloth couch closest to the white mini-fridge.,minifridge
39RRBHZ0AUKIQHAOIFF5GJBTNY0ZVJ,the table closest to the window,coffee table
3BFF0DJK8XV6CDKLISLIJ8Q53YKSTR,Choose the chair on the side with no whiteboard behind it.,office chair
3BFF0DJK8XV6CDKLISLIJ8Q53YKSTR,Choose the chair on the side with no whiteboard behind it.,office chair
3P888QFVX3DEM500U7AEUY5HM2IQOE,If looking at the chairs from the white/checkered rug it's the back left.,whitecheckered rug
37Y5RYYI0PODTUT5N2MF8BBBGU8SXA,"If you are facing the windows, it is the chair on the left.",office chair
3UZUVSO3P7E1PZPJ80018DRY8ZGEMC,The three-seated couch to the left of the two-seated couch.,threeseated couch
3UZUVSO3P7E1PZPJ80018DRY8ZGEMC,The three-seated couch to the left of the two-seated couch.,twoseated couch
3UZUVSO3P7E1PZPJ80018DRY8ZGEMC,The three-seated couch to the left of the two-seated couch.,threeseated couch
3UZUVSO3P7E1PZPJ80018DRY8ZGEMC,The three-seated couch to the left of the two-seated couch.,twoseated couch
3UZUVSO3P7E1PZPJ80018DRY8ZGEMC,The three-seated couch to the left of the two-seated couch.,twoseated couch
31GN6YMHLPBY4UOFDXQT6SX47S2SWH,The bin that's farthest away from the open door,recycling bin
31GN6YMHLPBY4UOFDXQT6SX47S2SWH,The bin that's farthest away from the open door,recycling bin
3NOEP8XAU4LGG2DDVLILD660TA1XPZ,This chair is pulled up to and under one end of the table.,office chair
3ULIZ0H1VAO4XRA14DO0KRXIXVM15Q,The brown chair closest to the black carpet.,brown  chair
31MCUE39BK5YNRD08DLACH34LODG3E,tower closest to the window,computer tower
31MCUE39BK5YNRD08DLACH34LODG3E,tower closest to the window,computer tower
3GITHABACY4FC1Y3RHK0JR79GM02NY,The towel dispenser that is closest to the sink (right of the sink),paper towel dispenser
3GITHABACY4FC1Y3RHK0JR79GM02NY,The towel dispenser that is closest to the sink (right of the sink),paper towel dispenser
32CAVSKPCE8LI60G5EW8S3PYWCF1U8,The table that looks like it has a plant on it,coffee table
3Y3CZJSZ9KCSQW9I273FQIFV1TFR5B,This shelf contains blue 'binders'.,bookshelf
3Y3CZJSZ9KCSQW9I273FQIFV1TFR5B,This shelf contains blue 'binders'.,bookshelf
3Y3CZJSZ9KCSQW9I273FQIFV1TFR5B,This shelf contains blue 'binders'.,blue binders
329E6HTMSWL3PD9JY46PA9VXS5V3K5,This chair is at a desk with a white lidded box on it.,office chair
372AGES0I4O1SFTS8DMAI16FUSPXRR,table in the middle of the room,middle of room
38RHULDV9YY9AGLJ8LWF2QRHYU0WIT,Choose the chair that is pulled out completely from the table.,office chair
3XJOUITW8UAUZX58QOWDO8B4LAZTQ3,This table is both the largest and cleanest of all the tables.,largest  tables
3RIHDBQ1NEHD99GLY187TGOB0F8MH0,The can closest to the wooden door beside the fireplace.,trash can
3RTFSSG7T8PB0HTPTOTSU6J9FYUWL7,You want to select the cabinets (row of three) above the kitchen sink.,kitchen cabinets
3WRAAIUSBJI9TY7B620ONBH5UO2XAK,The cabinet on the bottom near the sink,kitchen cabinets
3JMNNNO3B1N5ZV7HJIBNFAK09Y42WP,The kitchen cabinet closest to the door.,kitchen cabinets
34YWR3PJ28TDSL9TE03VY55SL2Q0XW,the middle lamp on the wall that has three,wall has three
3RBI0I35XEMY9IY02J7GJHA8QK3Y3U,the chair closer to the tree,armchair
3OQQD2WO8IPCJIJVY1LDXTGK016I39,This wall-mounted shelf has just one monitor under it.,wall mounted shelf
3R5LWXWHR0RA3PKES2SYJXS8SJFXGW,The chair furthest from the plant,armchair
3538U0YQ1FDS9RH5XTFSUW3SK9E3F3,The upper cabinets above the stove.,kitchen cabinets
3538U0YQ1FDS9RH5XTFSUW3SK9E3F3,The upper cabinets above the stove.,kitchen cabinets
3EPG8DX9LK97EJT3PFZQLNFG0BSP5I,table in the center of the room.,coffee table
3EPG8DX9LK97EJT3PFZQLNFG0BSP5I,table in the center of the room.,coffee table
3EGKVCRQFWB3CD2DHCMM108KECGYBL,the cabinet directly above the stove,kitchen cabinet
3BO3NEOQM00C33IG7G0NK1UQ6BYIA5,The darkest colored chair on the dark carpet.,armchair
374UMBUHN58Q5WVPL6VI43MNHVZCTI,The white binders / books at the bottom of the shelf just to the left of the door.,white binderbooks
3EKTG13IZUMFV5ZBPMN5L8HIHWHML7,The table is in the corner of the room to the right of the far right copier. It is a dark brown.,tables
38G0E1M85MO14IGECSGXZRWELGMVUR,The chair on the far right when entering through the glass doors,armchair
37ZQELHEQ0H5J52W1Z3KY0L7MRHNMA,The towel closest to the stand-up shower,standup shower
37ZQELHEQ0H5J52W1Z3KY0L7MRHNMA,The towel closest to the stand-up shower,standup shower
37ZQELHEQ0H5J52W1Z3KY0L7MRHNMA,The towel closest to the stand-up shower,standup shower
3H4IKZHALB1B1NNWD0IKBFA7RHRNNA,The printer is dark and under a cabinet,dark printer
3FJ2RVH25ZPUNZU9Q71V1QCPBXJ29Z,The chair on the right of the whiteboard.,sofa chair
3MQY1YVHS33DBS96ORFRSW7FZXM2B9,This kitchen cabinet is placed on the floor.,kitchen cabinets
3RIHDBQ1NEHD99GLY187TGOB0F8HMV,wooden chair right next to two small trash bins,two trash bins
356ZPKYPUH05G73N0H4NWKD9VGWYP7,table in the corner of the room.,corner of room
30U1YOGZGAFZVOOOW2L3E48J0CXSD9,Find the wardrobe that is closer to the door.,wardrobe closet
30U1YOGZGAFZVOOOW2L3E48J0CXSD9,Find the wardrobe that is closer to the door.,wardrobe closet
37VHPF5VYCM77C31I8KND7Q03IEC8T,the chair closest to the bed,chairs
3VQTAXTYN34MV4I87BPXYF27IO6UBK,The chair on the left side of the couch.,armchair
3UUIU9GZC5O56BMA6W8AQXGDPEDT5R,chair to the right of the trash cans,office chair
3JHB4BPSFKSBFIWUSIRWX8ASR3XQ91,The chair behind the desk closest to the window.,office chair
3JHB4BPSFKSBFIWUSIRWX8ASR3XQ91,The chair behind the desk closest to the window.,office chair
3J5XXLQDHMUH5O3VX8KWCI6E8433VU,table with 3 dark brown chairs around,coffee table
3J5XXLQDHMUH5O3VX8KWCI6E8433VU,table with 3 dark brown chairs around,coffee table
3GV1I4SEO98D62EJ26GOWCKWRX36LK,the armchair is across from the white door,whitedoor
3S829FDFT2K7R5ANQCRQDCPBFRZXDM,Choose the second chair from the square whiteboard.,office chair
3W9XHF7WGKE8OU7DDJCGSMZVM48TKC,This is the cabinet right above the refrigerator,kitchen cabinet
3W9XHF7WGKE8OU7DDJCGSMZVM48TKC,This is the cabinet right above the refrigerator,kitchen cabinet
3V8JSVE8YY91JGEXR3OC28E5H9UYEM,It is the chair under the television.,office chair
3V8JSVE8YY91JGEXR3OC28E5H9UYEM,It is the chair under the television.,office chair
3D06DR52252YZM87SVYFCU17NKIAMD,the red chair in the right-hand corner of the room,armchair
38F60IALAG06B4099Q2Y92KM862T06,chair next to the small circular table.,sofa chair
3RWO3EJELHS8Q1SKOSXEIX2ZOWO1PF,the overhead cabinet closest to the sink,kitchen cabinet
3PCPFX4U409KGSN7V4RO74W3U1SFQI,The hamper under the whiteboard.,laundry hamper
36D1BWBEHNK9UJD3FG506CI9BXR2M1,the bin further from the oven,recycling bin
36D1BWBEHNK9UJD3FG506CI9BXR2M1,the bin further from the oven,recycling bin
3YLPJ8OXX8WUR9RUX1QXA8V52E6X49,the chair closest to the carpet,armchair
374UMBUHN58Q5WVPL6VI43MNHVZTCZ,Find the cabinet that has a small fax/printer on top of it. It is next to a large trashcan.,faxprinter
374UMBUHN58Q5WVPL6VI43MNHVZTCZ,Find the cabinet that has a small fax/printer on top of it. It is next to a large trashcan.,faxprinter
374UMBUHN58Q5WVPL6VI43MNHVZTCZ,Find the cabinet that has a small fax/printer on top of it. It is next to a large trashcan.,faxprinter
374UMBUHN58Q5WVPL6VI43MNHVZTCZ,Find the cabinet that has a small fax/printer on top of it. It is next to a large trashcan.,small faxprinter
3WPCIUYH1AR0AO13L2QTO9452VBTDZ,The chair on the left of the couch.,sofa chair
3UQVX1UPFS0CR56WQBI28FBW8UQ20Q,table closest to the bed,end table
3AQN9REUTFZWRA0XV8DSWQWKHYUDYB,This cabinet is above the refrigerator.,kitchen cabinets
3AQN9REUTFZWRA0XV8DSWQWKHYUDYB,This cabinet is above the refrigerator.,kitchen cabinets
3ULIZ0H1VAO4XRA14DO0KRXIXWN15T,The cabinets are the ones that above the sink.,kitchen cabinets
31KSVEGZ34BM3FO2Y8QOGIS8LQKRWT,This cabinet is closer to the dining table.,kitchen cabinets
31KSVEGZ34BM3FO2Y8QOGIS8LQKRWT,This cabinet is closer to the dining table.,kitchen cabinets
30UZJB2POHV07UOGRH2J8KCFVG135N,This chair is at the desk next to the cabinet counter with the white screen sitting on top.,office chair
3FO95NVK5CJTWY7TE3GNJTPNFDOSRF,Find the cabinet that is hanging over the stove.,kitchen cabinets
3KQC8JMJGCBCNN8BSJ3SXHF50PS3H4,The door closest to the couch.,doors
371Q3BEXDHS2YPTKOKA05WRMOU7ZSF,"Right-most, smallest plant on the window ledge, when facing them.",rightmost smallest plant
3XAOZ9UYRZATQDTZO5C3I2S9TSA1Q6,cabinet under the sink,kitchen cabinet
37VE3DA4YU0HQICO7CIYF0DHOH5HB9,cabinets underneath the sink,kitchen cabinets
3S37Y8CWI8JF29M4NWUB8PHYTD14WQ,The table closest to the door.,end table
3S37Y8CWI8JF29M4NWUB8PHYTD14WQ,The table closest to the door.,end table
36JW4WBR06373ZO4CE4UYQ423FXHFR,the board opposite the windows,blackboard
3FSEU3P2NRJHVJ7GZEGITJKRTC6RRT,The third chair with a green backrest in front of the silver table,sofa chair
3NSCTNUR2Z60RFN10WHTVSQL1QTA5Q,The chair in the corner facing the monitor.,office chair
3QO7EE372O6U3BBRQ25SOE5IF41BQZ,the larger cabinet on the way above the counter,cabinets
3X878VYTIE1AAAISZ5II7DF8PC1F7N,The armchair on the far left when standing on the light-colored rug.,the lightcolored rug
3VAOOVPI3ZBVPNHQPAMQLV2THRQLL3,The table nearest the plant in front of the window.,coffee table
3VAOOVPI3ZBVPNHQPAMQLV2THRQLL3,The table nearest the plant in front of the window.,coffee table
304QEQWKZP3QYCV1D9GZFSEZ9YKO0E,The book closest to the door.,books
378G7J1SJLHXUBJXC26OHBTP61UEW3,The left table of the two against the wall.,against wall
3BC9H1KCYUVV0G0OC3IIOEL5ODYWYZ,The filing cabinet closest to the red teddy bear on the table.,file cabinet
3BC9H1KCYUVV0G0OC3IIOEL5ODYWYZ,The filing cabinet closest to the red teddy bear on the table.,file cabinet
3W9XHF7WGKE8OU7DDJCGSMZVM47TKB,Only chair not facing a desk.,armchair
3R4QIDVOJPV3DBX6R2CIV5MPZXPEEN,The chair next to the window that is not next to another chair.,office chair
3R4QIDVOJPV3DBX6R2CIV5MPZXPEEN,The chair next to the window that is not next to another chair.,office chair
37SOB9Z0SSGE9JR1J4IQP98CH5ZL3P,The cabinet next to the open cabinet on the side of the room with the refrigerator,kitchen cabinet
3A9LA2FRWSXO3LFPC8AG4X497JSHXF,Find the double-seated chair that sit  against the short wall.,doubleseated chair
3A9LA2FRWSXO3LFPC8AG4X497JSHXF,Find the double-seated chair that sit  against the short wall.,doubleseated chair
3A9LA2FRWSXO3LFPC8AG4X497JSHXF,Find the double-seated chair that sit  against the short wall.,doubleseated chair
3HEM8MA6H9VW75C197NTJYA7W7EQPV,The dispenser on the right when facing the wall.,paper towel dispenser
3PA41K45VNNM1N7MD8ENJ7TCRHN7PF,The chair is under the television,office chair
3PA41K45VNNM1N7MD8ENJ7TCRHN7PF,The chair is under the television,office chair
3VZYA8PITOH4Q2PJ8UK06ME8S3G05M,Choose the chair that is farther from the red wall.,sofa chair
3VZYA8PITOH4Q2PJ8UK06ME8S3G05M,Choose the chair that is farther from the red wall.,sofa chair
31GN6YMHLPBY4UOFDXQT6SX47S2WSL,Blue 'binders' are prominent on this bookshelf.,blue binders
3R0WOCG21MSFA1GSL7G3T5Q7L9IDUA,wndow next to the door above the grey shelf,window
3R0WOCG21MSFA1GSL7G3T5Q7L9IDUA,wndow next to the door above the grey shelf,window
3R0WOCG21MSFA1GSL7G3T5Q7L9IDUA,wndow next to the door above the grey shelf,window
3O4VWC1GEWP8ET31GJ6D9UVKDGV3J6,long shelf under the window.,bookshelf
3O4VWC1GEWP8ET31GJ6D9UVKDGV3J6,long shelf under the window.,bookshelf
3UOMW19E6DPOKUKZKADK1NG91SDC5R,The bookshelf closest to the grey trashcan.,gray trashcan
31D0ZWOD0AI1W8103QBHEXUUKHHA02,It is the smaller of the two tables against the wall.,against wall
3087LXLJ6MZWSZI8E6X9SY5LHXU0F5,chair with papers on it in front of the white closet door.,armchair
3KVQ0UJWPX4XYSQ411DLDHNCT8UW5J,computer closest to the wall with a large white board on,computer tower
3ZC62PVYDHTLPBF4HCS27JS3V9AXXN,Choose the cabinet and countertop that goes with it to the left of the sink.,kitchen cabinet
3ZC62PVYDHTLPBF4HCS27JS3V9AXXN,Choose the cabinet and countertop that goes with it to the left of the sink.,kitchen cabinets
3Y3CZJSZ9KCSQW9I273FQIFV1TG5RQ,The cabinet to the left of the oven,kitchen cabinets
3Y3CZJSZ9KCSQW9I273FQIFV1TG5RQ,The cabinet to the left of the oven,kitchen cabinets
306W7JMRYYHOX7BV48OS2NKILXE8BI,The maroon chair that is at the end of the table.,marron chair
3IYI9285WSJWRTZK9CHE2XZEJT8JCK,Locate the chair that is next to the square table and under the Kepler poster.,sofa chair
3IYI9285WSJWRTZK9CHE2XZEJT8JCK,Locate the chair that is next to the square table and under the Kepler poster.,sofa chair
3LB1BGHFL2F38ZWUHYD71UE6KJGTY6,Choose the filing cabinet under the white desk.,file cabinet
3LB1BGHFL2F38ZWUHYD71UE6KJGTY6,Choose the filing cabinet under the white desk.,file cabinet
3WPCIUYH1AR0AO13L2QTO9452VBDTJ,the lower cabinet next to a garbage bin,kitchen cabinets
3WPCIUYH1AR0AO13L2QTO9452VBDTJ,the lower cabinet next to a garbage bin,cabinets
3NQUW096N6R0OLGH0DJ0GMBYHXA9LV,the large picture that is above the larger picture on the left as you walk in,over larger picture
3OB6JN3A9Q8QY3UOU6K17KQHNO6MRX,This chair is by a round white table and is boxy-shaped and tan.,boxyshaped and tan chair
3MQKOF1EE27S255XG7V4BTB46PTDW9,"A light-brown box with a blue stripe on the front, that is under another box that looks the same as it.",light brown box
38G0E1M85MO14IGECSGXZRWELGMUVQ,"This trash can is located at the end of a table, it is the only one NOT against a wall.",end of table
30UZJB2POHV07UOGRH2J8KCFVF035K,the chair in the middle of the room,middle of room
311HQEI8RSZGFR9S0HCPA5VQ1GU7Z0,"The correct table is light colored wood, in front of a black couch and has a plant on it.",coffee table
311HQEI8RSZGFR9S0HCPA5VQ1GU7Z0,"The correct table is light colored wood, in front of a black couch and has a plant on it.",light colored wood table
3W0XM68YZPE7FAV4B0S6MGG0ULH1KB,The door is wood with the handle on the left side.,wood door
3K1H3NEY7LIW5JFX12RMPQPGC13DGA,the gray  loafer shoes in the middle of the room,gray loafer shoes
3MJ9GGZYO3P8SI4EIDFVXLN9HF12AE,The desk that has something teal/light blue sitting on it,teallight blue
3MJ9GGZYO3P8SI4EIDFVXLN9HF12AE,The desk that has something teal/light blue sitting on it,something teallight blue
3MJ9GGZYO3P8SI4EIDFVXLN9HF12AE,The desk that has something teal/light blue sitting on it,teallight blue
3MJ9GGZYO3P8SI4EIDFVXLN9HF1A2M,choose lower cabinets closest to the door.,kitchen cabinet
3MJ9GGZYO3P8SI4EIDFVXLN9HF1A2M,choose lower cabinets closest to the door.,kitchen cabinet
3MJ9GGZYO3P8SI4EIDFVXLN9HF1A2M,choose lower cabinets closest to the door.,kitchen cabinet
3DW3BNF1GH136L919PFS3ZEPOQV8VR,Find the metal cabinet that is in between the door and the blue-gray quilted furniture cover.,bluegray quilted furniture cover
3U74KRR67M49W0SGAW4WKEGZGZDNTB,The chair opposite of the shortest chair.,shortesst chair
3E6L1VR4XW5R6A4NGVDQ1ZFCU1H6FF,corner pillow near the white and black striped pillow on the couch,white and black pillow
3D5G8J4N5ANM451PCNQNUVAC22FVT0,chair in front of the monitor that appears to have an outdoor picture on it.,office chair
3D5G8J4N5ANM451PCNQNUVAC22FVT0,chair in front of the monitor that appears to have an outdoor picture on it.,office chair
3ABAOCJ4R8NQM2FOHRV12UGCR24QM0,This long table with sink cut-out has a blackboard behind it.,sink cutout
3W9XHF7WGKE8OU7DDJCGSMZVM48KT3,This box is sitting on top of another box which is not closed and is filled with items.,box filled with items
3IWA71V4TIZ86WV8GPJC76FJY6D6X6,The center most chair in the room at a desk with a laptop in front of it.,office chair
3X52SWXE0XOIXDZJGB0TRNTMLPHWCS,The chair that is facing the window and blocking a door,sofa chair
372AGES0I4O1SFTS8DMAI16FUSQXRS,The cabinet closest to the fridge.,cabinet closet
